name,lat,lng,priority,iscapital
"Dubai",25.258172,55.304717,3,0
"Sharjah",25.35731,55.403304,4,0
"Yerevan",40.1811111,44.5136111,3,0
"Cordoba",-31.413496,-64.181052,3,0
"La Plata",-34.921454,-57.954533,3,0
"Mar Del Plata",-38.002278,-57.557539,3,0
"Mendoza",-32.890845,-68.827171,3,0
"Rosario",-32.946818,-60.639317,3,0
"Salta",-24.785896,-65.411664,3,0
"Tucuman",-26.824144,-65.2226,3,0
"Adelaide",-34.928661,138.598633,3,0
"Brisbane",-27.47101,153.024292,3,0
"Gold Coast",-28.00029,153.430878,3,0
"Perth",-31.95224,115.861397,3,0
"Khulna",22.8,89.55,3,0
"Rajshahi",24.3666667,88.6,3,0
"Cotonou",6.35,2.4333333,3,0
"Cochabamba",-17.3833333,-66.15,3,0
"Belem",-1.45,-48.483333,1,0
"Campinas",-22.9,-47.083333,3,0
"Campo Grande",-20.45,-54.616667,3,0
"Contagem",-19.916667,-44.1,3,0
"Cuiaba",-15.583333,-56.083333,3,0
"Curitiba",-25.416667,-49.25,3,0
"Duque De Caxias",-22.790321,-43.325009,3,0
"Goiania",-16.666667,-49.266667,3,0
"Guarulhos",-23.45068,-46.526175,3,0
"Jaboatao",-8.116667,-35.016667,2,0
"Joao Pessoa",-7.116667,-34.866667,3,0
"Maceio",-9.666667,-35.716667,2,0
"Manaus",-3.113333,-60.025278,3,0
"Natal",-5.783333,-35.216667,1,0
"Nova Iguacu",-22.759188,-43.431887,3,0
"Osasco",-23.566667,-46.783333,3,0
"Porto Alegre",-30.033333,-51.2,3,0
"Recife",-8.05,-34.9,7,0
"Ribeirao Preto",-21.166667,-47.8,3,0
"Santo Andre",-23.666667,-46.516667,3,0
"Sao Bernardo Do Campo",-23.7,-46.55,3,0
"Sao Goncalo",-22.800278,-43.025556,3,0
"Sao Jose Dos Campos",-23.183333,-45.883333,3,0
"Sao Luis",-2.516667,-44.266667,3,0
"Sorocaba",-23.483333,-47.45,3,0
"Teresina",-5.083333,-42.816667,2,0
"Uberlandia",-18.916667,-48.3,3,0
"Calgary",51.083333,-114.083333,3,0
"Edmonton",53.55,-113.5,3,0
"Hamilton",43.25,-79.833333,3,0
"Ottawa",45.416667,-75.7,3,0
"Quebec",46.8,-71.25,3,0
"Vancouver",49.25,-123.133333,3,0
"Winnipeg",49.883333,-97.166667,3,0
"Kisangani",.516667,25.2,2,0
"Lubumbashi",-11.666667,27.466667,3,0
"Mbuji-mayi",-6.15,23.6,2,0
"Bouake",7.693846,-5.030307,3,0
"Douala",4.0502778,9.7,3,0
"Yaounde",3.8666667,11.5166667,3,0
"Anshan",41.123611,122.99,5,0
"Anyang",36.099444,114.328889,3,0
"Baoding",38.851111,115.490278,3,0
"Bengbu",32.940833,117.360833,3,0
"Benxi",41.288611,123.765,3,0
"Cangzhou",38.316667,116.866667,3,0
"Changde",29.046378,111.678304,3,0
"Changzhou",31.783333,119.966667,3,0
"Dandong",40.129167,124.394722,3,0
"Datong",40.093611,113.291389,3,0
"Foshan",23.026771,113.131483,3,0
"Fushun",41.7,123.883333,3,0
"Fuxin",42.015556,121.658889,3,0
"Fuzhou",26.061389,119.306111,3,0
"Guilin",25.281944,110.286389,3,0
"Guiyang",26.583333,106.716667,3,0
"Haikou",20.045833,110.341667,3,0
"Handan",36.566667,114.533333,3,0
"Hangzhou",30.29365,120.161419,3,0
"Hefei",31.863889,117.280833,3,0
"Hegang",47.4,130.366667,3,0
"Hengyang",26.888056,112.615,3,0
"Hohhot",40.810556,111.652222,3,0
"Huaibei",33.974444,116.791667,3,0
"Huainan",32.626389,116.996944,3,0
"Huaiyin",33.588611,119.019167,3,0
"Jiamusi",46.833333,130.35,3,0
"Jiangmen",22.583333,113.083333,3,0
"Jiaozuo",35.239722,113.233056,3,0
"Jilin",43.850833,126.560278,3,0
"Jinzhou",41.107778,121.141667,3,0
"Kaifeng",34.744167,114.418611,3,0
"Kunming",25.038889,102.718333,3,0
"Langfang",39.509722,116.694722,3,0
"Lanzhou",36.056389,103.792222,3,0
"Liaoyang",41.226111,123.056111,3,0
"Liuzhou",24.312582,109.389157,3,0
"Luancheng",37.879167,114.651667,3,0
"Luoyang",34.683611,112.453611,3,0
"Maanshan",31.695678,118.498248,3,0
"Mudanjiang",44.583333,129.6,3,0
"Nanchang",28.55,115.933333,3,0
"Nanning",22.816667,108.316667,3,0
"Nantong",32.030278,120.874722,3,0
"Neijiang",29.583536,105.06216,3,0
"Ningbo",29.878186,121.549453,3,0
"Pingdingshan",33.738472,113.301194,3,0
"Puyang",35.702778,115.005278,3,0
"Qingdao",36.098611,120.371944,3,0
"Qinhuangdao",39.931667,119.588333,3,0
"Qiqihar",47.340833,123.967222,3,0
"Rongcheng",23.528858,116.364159,3,0
"Shaoguan",24.8,113.583333,3,0
"Shaoyang",26.965893,111.241376,3,0
"Shenzhen",22.533333,114.133333,3,0
"Shihezi",44.3,86.033333,3,0
"Suzhou",31.311389,120.618056,3,0
"Taian",36.185278,117.12,3,0
"Taizhou",32.493333,119.910627,3,0
"Tanggu",39.021111,117.646944,3,0
"Urumqi",43.800965,87.600459,3,0
"Wenzhou",27.999416,120.66682,3,0
"Wuhu",31.14607,118.57069,3,0
"Wuxi",31.568873,120.288573,3,0
"Xiamen",24.479794,118.081869,3,0
"Xianyang",34.33778,108.70261,3,0
"Xingtai",37.063056,114.494167,3,0
"Xining",36.616667,101.766667,3,0
"Xinxiang",35.308889,113.867222,3,0
"Xinyang",32.095833,114.120278,3,0
"Xuzhou",34.180454,117.15707,3,0
"Yancheng",33.385556,120.125278,3,0
"Yangzhou",32.397222,119.435833,3,0
"Yantai",37.533333,121.4,3,0
"Yingkou",40.637318,122.502508,3,0
"Yueyang",29.140833,113.111111,3,0
"Zhangdian",36.790556,118.063333,3,0
"Zhangjiakou",40.81,114.879444,3,0
"Zhangzhou",24.513333,117.655556,5,0
"Zhanjiang",21.281452,110.342713,3,0
"Zhenjiang",32.209167,119.434167,3,0
"Zhuhai",22.276944,113.567778,5,0
"Zhuzhou",27.691868,113.152137,3,0
"Zigong",29.341622,104.776887,3,0
"Barranquilla",10.963889,-74.796389,2,0
"Bucaramanga",7.125393,-73.119804,2,0
"Cartagena",10.399722,-75.514444,1,0
"Cucuta",7.893907,-72.507821,2,0
"Santiago De Cuba",20.0247222,-75.8219444,3,0
"Bremen",53.083333,8.8,3,0
"Cologne",50.933333,6.95,3,0
"Dortmund",51.516667,7.45,4,0
"Duisburg",51.433333,6.75,3,0
"Dusseldorf",51.216667,6.766667,3,0
"Essen",51.45,7.016667,4,0
"Frankfurt",50.116667,8.683333,3,0
"Hamburg",53.55,10,3,0
"Hanover",52.366667,9.716667,3,0
"Munich",48.1500,11.5833,3,0
"Stuttgart",48.766667,9.183333,3,0
"Jibuti",11.595,43.1480556,3,0
"Santiago",19.45,-70.7,3,0
"Wahran",35.6911111,-0.6416667,3,0
"Guayaquil",-2.1666667,-79.9,3,0
"Port Said",31.2666667,32.3,3,0
"Asmara",15.3333333,38.9333333,3,0
"Barcelona",41.398371,2.1741,3,0
"Malaga",36.726666,-4.434802,3,0
"Sevilla",37.382408,-5.976133,3,0
"Valencia",39.466667,-.366667,3,0
"Zaragoza",41.64531,-.884861,3,0
"Helsinki",60.175556,24.934167,3,0
"Marseille",43.285413,5.37606,3,0
"Belfast",54.583333,-5.933333,3,0
"Birmingham",52.466667,-1.916667,3,0
"Glasgow",55.833333,-4.25,3,0
"Tbilisi",41.725,44.7908333,3,0
"Accra",5.55,-0.2166667,3,0
"Kumasi",6.6833333,-1.6166667,3,0
"Conakry",9.5091667,-13.7122222,3,0
"Tegucigalpa",14.1,-87.2166667,3,0
"Bandung",-6.903889,107.618611,3,0
"Banjarmasin",-3.333333,114.583333,3,0
"Bekasi",-6.2349,106.9896,5,0
"Bogor",-6.594444,106.789167,3,0
"Depok",-6.343333,106.498889,3,0
