id,origin,destination,count,origLat,origLon,destLat,destLon
74,Bulgaria,Austria,3,42.69719,23.32431,48.20255,16.3688
138,United Kingdom,Greece,3,51.50643,-0.12721,37.97613,23.73643
151,Syria,Hungary,3,33.4993,36.30132,47.49973,19.05508
280,Bosnia and Herzegovina,Croatia,3,43.85943,18.43577,45.80724,15.96758
392,Jordan,Romania,3,31.95181,35.94042,44.4343,26.10298
439,France,Czech Republic,3,48.85693,2.3412,50.07913,14.43303
461,Croatia,Austria,3,45.80724,15.96758,48.20255,16.3688
464,Bulgaria,Austria,3,42.69719,23.32431,48.20255,16.3688
503,Norway,United Kingdom,3,59.9123,10.75,51.50643,-0.12721
513,Lebanon,France,3,33.89607,35.50678,48.85693,2.3412
525,Romania,France,3,44.4343,26.10298,48.85693,2.3412
557,Austria,Finland,3,48.20255,16.3688,60.17116,24.93266
606,Greece,Denmark,3,37.97613,23.73643,55.67567,12.56756
607,Hungary,Denmark,3,47.49973,19.05508,55.67567,12.56756
648,United Kingdom,Norway,3,51.50643,-0.12721,59.9123,10.75
652,Denmark,Norway,3,55.67567,12.56756,59.9123,10.75
681,Sweden,Spain,3,59.33233,18.06293,40.42028,-3.70578
692,Jordan,Poland,3,31.95181,35.94042,52.23558,21.01027
842,Jordan,Ukraine,3,31.95181,35.94042,50.45057,30.52428
16,Czech Republic,Germany,4,50.07913,14.43303,52.51607,13.37699
47,Austria,Hungary,4,48.20255,16.3688,47.49973,19.05508
108,United Kingdom,Italy,4,51.50643,-0.12721,41.90323,12.49566
125,Egypt,Greece,4,30.04992,31.2486,37.97613,23.73643
167,Austria,Hungary,4,48.20255,16.3688,47.49973,19.05508
364,Turkey,Bulgaria,4,39.92109,32.85399,42.69719,23.32431
394,Turkey,Romania,4,39.92109,32.85399,44.4343,26.10298
483,Lebanon,United Kingdom,4,33.89607,35.50678,51.50643,-0.12721
517,Hungary,France,4,47.49973,19.05508,48.85693,2.3412
589,France,Sweden,4,48.85693,2.3412,59.33233,18.06293
812,Jordan,Russia,4,31.95181,35.94042,55.75697,37.61502
78,United Kingdom,Austria,5,51.50643,-0.12721,48.20255,16.3688
468,United Kingdom,Austria,5,51.50643,-0.12721,48.20255,16.3688
512,Jordan,France,5,31.95181,35.94042,48.85693,2.3412
534,Spain,France,5,40.42028,-3.70578,48.85693,2.3412
571,Syria,Sweden,5,33.4993,36.30132,59.33233,18.06293
662,Jordan,Spain,5,31.95181,35.94042,40.42028,-3.70578
23,Norway,Germany,6,59.9123,10.75,52.51607,13.37699
61,Syria,Austria,6,33.4993,36.30132,48.20255,16.3688
63,Lebanon,Austria,6,33.89607,35.50678,48.20255,16.3688
73,Slovakia,Austria,6,48.14926,17.10699,48.20255,16.3688
76,Czech Republic,Austria,6,50.07913,14.43303,48.20255,16.3688
94,Turkey,Italy,6,39.92109,32.85399,41.90323,12.49566
114,Spain,Italy,6,40.42028,-3.70578,41.90323,12.49566
276,Greece,Croatia,6,37.97613,23.73643,45.80724,15.96758
437,Austria,Czech Republic,6,48.20255,16.3688,50.07913,14.43303
451,Syria,Austria,6,33.4993,36.30132,48.20255,16.3688
453,Lebanon,Austria,6,33.89607,35.50678,48.20255,16.3688
463,Slovakia,Austria,6,48.14926,17.10699,48.20255,16.3688
466,Czech Republic,Austria,6,50.07913,14.43303,48.20255,16.3688
504,Spain,United Kingdom,6,40.42028,-3.70578,51.50643,-0.12721
573,Lebanon,Sweden,6,33.89607,35.50678,59.33233,18.06293
11,Croatia,Germany,7,45.80724,15.96758,52.51607,13.37699
14,Bulgaria,Germany,7,42.69719,23.32431,52.51607,13.37699
62,Jordan,Austria,7,31.95181,35.94042,48.20255,16.3688
274,Turkey,Croatia,7,39.92109,32.85399,45.80724,15.96758
452,Jordan,Austria,7,31.95181,35.94042,48.20255,16.3688
481,Syria,United Kingdom,7,33.4993,36.30132,51.50643,-0.12721
515,Egypt,France,7,30.04992,31.2486,48.85693,2.3412
634,Turkey,Norway,7,39.92109,32.85399,59.9123,10.75
647,Austria,Norway,7,48.20255,16.3688,59.9123,10.75
679,France,Spain,7,48.85693,2.3412,40.42028,-3.70578
544,Turkey,Finland,8,39.92109,32.85399,60.17116,24.93266
546,Greece,Finland,8,37.97613,23.73643,60.17116,24.93266
577,Hungary,Sweden,8,47.49973,19.05508,59.33233,18.06293
617,Austria,Denmark,8,48.20255,16.3688,55.67567,12.56756
588,United Kingdom,Sweden,9,51.50643,-0.12721,59.33233,18.06293
618,United Kingdom,Denmark,9,51.50643,-0.12721,55.67567,12.56756
636,Greece,Norway,9,37.97613,23.73643,59.9123,10.75
651,Sweden,Norway,9,59.33233,18.06293,59.9123,10.75
5,Egypt,Germany,10,30.04992,31.2486,52.51607,13.37699
95,Egypt,Italy,10,30.04992,31.2486,41.90323,12.49566
487,Hungary,United Kingdom,10,47.49973,19.05508,51.50643,-0.12721
22,Denmark,Germany,12,55.67567,12.56756,52.51607,13.37699
485,Egypt,United Kingdom,12,30.04992,31.2486,51.50643,-0.12721
593,Norway,Sweden,12,59.9123,10.75,59.33233,18.06293
122,Jordan,Greece,13,31.95181,35.94042,37.97613,23.73643
502,Denmark,United Kingdom,13,55.67567,12.56756,51.50643,-0.12721
621,Sweden,Denmark,13,59.33233,18.06293,55.67567,12.56756
109,France,Italy,14,48.85693,2.3412,41.90323,12.49566
604,Turkey,Denmark,14,39.92109,32.85399,55.67567,12.56756
528,United Kingdom,France,15,51.50643,-0.12721,48.85693,2.3412
499,France,United Kingdom,16,48.85693,2.3412,51.50643,-0.12721
561,Sweden,Finland,17,59.33233,18.06293,60.17116,24.93266
592,Denmark,Sweden,17,55.67567,12.56756,59.33233,18.06293
21,Sweden,Germany,18,59.33233,18.06293,52.51607,13.37699
107,Austria,Italy,18,48.20255,16.3688,41.90323,12.49566
121,Syria,Greece,18,33.4993,36.30132,37.97613,23.73643
123,Lebanon,Greece,18,33.89607,35.50678,37.97613,23.73643
482,Jordan,United Kingdom,18,31.95181,35.94042,51.50643,-0.12721
501,Sweden,United Kingdom,19,59.33233,18.06293,51.50643,-0.12721
3,Lebanon,Germany,21,33.89607,35.50678,52.51607,13.37699
1,Syria,Germany,22,33.4993,36.30132,52.51607,13.37699
516,Greece,France,22,37.97613,23.73643,48.85693,2.3412
79,France,Austria,24,48.85693,2.3412,48.20255,16.3688
469,France,Austria,24,48.85693,2.3412,48.20255,16.3688
527,Austria,France,24,48.20255,16.3688,48.85693,2.3412
2,Jordan,Germany,27,31.95181,35.94042,52.51607,13.37699
67,Hungary,Austria,28,47.49973,19.05508,48.20255,16.3688
457,Hungary,Austria,28,47.49973,19.05508,48.20255,16.3688
576,Greece,Sweden,28,37.97613,23.73643,59.33233,18.06293
497,Austria,United Kingdom,31,48.20255,16.3688,51.50643,-0.12721
587,Austria,Sweden,31,48.20255,16.3688,59.33233,18.06293
514,Turkey,France,33,39.92109,32.85399,48.85693,2.3412
486,Greece,United Kingdom,37,37.97613,23.73643,51.50643,-0.12721
18,United Kingdom,Germany,49,51.50643,-0.12721,52.51607,13.37699
574,Turkey,Sweden,54,39.92109,32.85399,59.33233,18.06293
36,Greece,Hungary,57,37.97613,23.73643,47.49973,19.05508
156,Greece,Hungary,57,37.97613,23.73643,47.49973,19.05508
484,Turkey,United Kingdom,57,39.92109,32.85399,51.50643,-0.12721
19,France,Germany,62,48.85693,2.3412,52.51607,13.37699
34,Turkey,Hungary,64,39.92109,32.85399,47.49973,19.05508
154,Turkey,Hungary,64,39.92109,32.85399,47.49973,19.05508
7,Hungary,Germany,70,47.49973,19.05508,52.51607,13.37699
66,Greece,Austria,95,37.97613,23.73643,48.20255,16.3688
456,Greece,Austria,95,37.97613,23.73643,48.20255,16.3688
64,Turkey,Austria,125,39.92109,32.85399,48.20255,16.3688
454,Turkey,Austria,125,39.92109,32.85399,48.20255,16.3688
17,Austria,Germany,162,48.20255,16.3688,52.51607,13.37699
6,Greece,Germany,206,37.97613,23.73643,52.51607,13.37699
124,Turkey,Greece,273,39.92109,32.85399,37.97613,23.73643
4,Turkey,Germany,333,39.92109,32.85399,52.51607,13.37699
